year,strategy_return,btc_buy_hold_return,alpha_vs_btc,strategy_max_drawdown,strategy_sharpe,signals,turnover
2023,1.2272681598961004,1.553610860714005,-0.3263427008179045,-0.2655551724530075,1.8888322748375173,9,17.482111154786875
2024,0.8124509715538448,1.1827221275531157,-0.37027115599927085,-0.32122321047115476,1.3652528081848128,43,47.01832992011609
2025,-0.02090350571278843,-0.0575471698113208,0.03664366409853237,-0.2862298072360242,0.14102869878271887,28,32.402258451073294
